Throughput: {} Gel/s 7.433404721770045
==32304== NVPROF is profiling process 32304, command: python C:\Documents\Programming\Python\MLPlayGround\large_softmax.py
==32304== Profiling application: python C:\Documents\Programming\Python\MLPlayGround\large_softmax.py
==32304== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream  Name
3.01168s  8.2218ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1528]
3.01991s  8.1911ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1537]
3.02810s  8.0651ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1546]
3.03617s  8.0006ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1555]
3.04417s  8.5945ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1564]
3.05277s  8.0006ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1573]
3.06078s  8.0579ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1582]
3.06884s  8.0119ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1591]
3.07685s  8.0590ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1600]
3.08492s  8.0160ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1609]
